Team,Player Name,Full Name,Born,Current Age,Batting Style,Bowling Style,Profile,Batting_Test_matches,Batting_Test_Innings,Batting_Test_Runs,Batting_Test_Avg,Batting_ODI_Matches,Batting_ODI_Innings,Batting_ODI_Runs,Batting_ODI_Highest,Batting_ODI_Avg,Batting_TESTs_Highest,Batting_T20I_Matches,Batting_T20I_Innings,Batting_T20I_runs,Batting_T20I_Highest,Batting_T20I_Avg,Batting_T20_Matches,Batting_T20_Innings,Batting_T20_Runs,Batting_T20_Highest,Batting_T20_average,Test_Debut,ODI_Debut,T20 Debut,Image URL-src,T20I_Debut
England,TT Bresnan,Timothy Thomas Bresnan,"February 28, 1985, Pontefract, Yorkshire",29 years 274 days,"Brezy Lad, Brez",Allrounder,"A powerfully built allrounder, Tim Bresnan had been tipped for higher honours since he became the youngest player in 20 years to represent Yorkshire when he debuted in 2001. It was nearly a decade later that he really announced his arrival in the big-time, however, with a phenomenal performance in the fourth Test against Australia in Melbourne in December 2010. Called into the side as a replacement for Steven Finn, and with a remit to keep the runs down, he starred with a performance of skill, pace and unrelenting accuracy. First, he played a key role in bowling Australia out for 98 in the first innings, then he sealed England's successful defence of the Ashes with 4 for 50 in the second innings.",23,26,575,26.13,84,64,871,80,19.79,91,34,22,216,NA,16.61,96,68,821,NA,20.02,"England v West Indies at Lord's, May 6-8, 2009 scorecard","England v Sri Lanka at Lord's, Jun 17, 2006 scorecard","Yorkshire v Derbyshire at Leeds, Jun 14, 2003 scorecard",http://www.espncricinfo.com/inline/content/image/800933.html?alt=3,"England v Sri Lanka at Southampton, Jun 15, 2006 scorecard"
India,UT Yadav,Umeshkumar Tilak Yadav,"October 25, 1987, Nagpur, Maharashtra",27 years 35 days,Bowler,Right-hand bat,"Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap.",9,11,36,6,38,13,44,17,14.66,21,1,-,-,-,-,76,22,79,23,7.9,"India v West Indies at Delhi, Nov 6-9, 2011 scorecard","Zimbabwe v India at Bulawayo, May 28, 2010 scorecard","Madhya Pradesh v Vidarbha at Indore, Oct 21, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/800299.html?alt=3,NA
India,AT Rayudu,Ambati Thirupathi Rayudu,"September 23, 1985, Guntur, Andhra Pradesh",29 years 67 days,Wicketkeeper batsman,Right-hand bat,"Ambati Rayudu was touted as India's next great batting hope ever since he started training at the National Cricket Academy in 2001. A pint-sized, fluent strokemaker with a compact technique, he blazed an unbeaten 177 - after opening the batting - as India's colts completed a clean sweep of a one-day series in England in 2002. The Ranji Trophy season that followed, his first, was also exceptional - including a double-century and a hundred in the same match against Andhra. However, he had to wait 11 more years before finally making his international debut, in a low-profile ODI series in Zimbabwe. Keen to make up for lost time, Rayudu responded with an unbeaten 63 on debut, becoming the third-oldest Indian, at 27 years and 304 days, to score a fifty on ODI debut.",24,21,685,45.66,1,1,3,3*,-,NA,85,139,5501,210,46.22,NA,NA,NA,NA,NA,NA,"Zimbabwe v India at Harare, Jul 24, 2013 scorecard","Goa v Hyderabad (India) at Visakhapatnam, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/434273.html,NA
India,M Vijay,Murali Vijay,"April 1, 1984, Chennai",30 years 242 days,Opening batsman,Right-hand bat,"M Vijay brings, along with his bat, pads and gloves, an invisible switch to the crease. When that switch is flicked on, given certain conditions, he can be one of the more pleasing sights in present-day cricket; when it is not, he can scratch and struggle on the flattest of pitches. He prefers to play off the front foot, which can bring his downfall, but it also produces some sensational hits down the ground, including the trademark pick-up shot over wide long-on.",27,47,1706,36.29,14,13,253,33,19.46,167,7,7,122,48,17.42,123,121,2933,127,25.06,"India v Australia at Nagpur, Nov 6-10, 2008 scorecard","India v South Africa at Ahmedabad, Feb 27, 2010 scorecard","Goa v Tamil Nadu at Visakhapatnam, Apr 4, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/800315.html?alt=3,"Afghanistan v India at Gros Islet, May 1, 2010 scorecard"
India,I Sharma,Ishant Sharma,"September 2, 1988, Delhi",26 years 88 days,Bowler,Right-hand bat,"With a physique and attitude that is reminiscent of a young Javagal Srinath, Ishant Sharma shot into prominence during the 2007-08 Test series in Australia. Standing at 6'4"", his rhythmic, high-arm action allowed him to bowl at around 140 kph. For one who started serious cricket at 14, his rise was rapid and he made his Ranji Trophy debut at 18. An injury to Munaf Patel provided him an opening during India's tour of Bangladesh in May 2007 but it was in Australia where he caught the attention, prompting Steve Waugh to call him the next best thing in Indian cricket. He showed he could move the ball both ways and his probing spell in the second innings in Perth, where he set-up Ricky Ponting, is the stuff of folklore. He continued to impress in the one-day series, clocking more than 150kph once, and ended as India's highest wicket-taker in the triumphant campaign.",58,87,524,9.35,75,27,72,13,5.14,NA,14,3,8,NA,8,95,23,45,9,9,"Bangladesh v India at Dhaka, May 25-27, 2007 scorecard","India v South Africa at Belfast, Jun 29, 2007 scorecard","Delhi v Himachal Pradesh at Delhi, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/800319.html?alt=3,"Australia v India at Melbourne, Feb 1, 2008 scorecard"
India,MK Tiwary,Manoj Kumar Tiwary,"November 14, 1985, Howrah, Bengal",29 years 15 days,Batsman,Right-hand bat,"Manoj Tiwary is not the most fortunate man in Indian cricket. An aggressive batsman from Bengal, he impressed everybody with 796 runs at 99.50 in the 2006-07 Ranji Trophy, in the process breaking Bengal records and forcing his way into the India touring party for Bangladesh. On match eve in Mirpur - and everybody knew he was going to debut - he injured his shoulder severely during fielding practice. When the debut finally arrived in early 2008, he was jetlagged and in Brisbane, completely out of league against a searing Brett Lee. He had to wait for more than three years for his next international match, and was asked to open the innings because he was replacing an underperforming opener in a second-string side. Another failure followed.",9,9,253,31.62,3,1,15,15,15,NA,69,102,5322,267,58.48,NA,NA,NA,NA,NA,NA,"Australia v India at Brisbane, Feb 3, 2008 scorecard","Assam v Bengal at Kolkata, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/582283.html,"India v England at Kolkata, Oct 29, 2011 scorecard"
India,STR Binny,Stuart Terence Roger Binny,"June 3, 1984, Bangalore, Karnataka",30 years 179 days,Allrounder,Right-hand bat,"The son of former Indian allrounder Roger Binny, Stuart has established himself as a very useful cricketer in the same discipline. He made his Karnataka debut in the 2003-04 season but couldn't maintain a regular place in the first-class line-up. He considers himself a limited-overs specialist and when the Indian Cricket League came calling in 2007, he signed up and made a name for himself as one of the tournament's premier allrounders. Stuart relies more on a stump-to-stump-line and taking the pace off the ball, making him difficult to get away. His batting too was a revelation for the Hyderabad Heroes and India XI. After two fulfilling seasons, he accepted the BCCI's amnesty offer and quit the ICL. He returned to the Karnataka squad, went on to captain the side and established himself as a hard-hitting allrounder in the IPL. He was picked in the India A squad for the tour of South Africa in 2013 and was rewarded with a national call-up later that year with the ODI squad to New Zealand. He had a reasonable domestic season in 2013-14, scoring 443 runs at 43.22, and taking 14 wickets at 32.64, and was a surprise inclusion in the Indian squad for the five-Test series in England in 2014.
 ESPNcricinfo Staff",3,6,118,23.6,6,4,40,25*,13.33,78,59,91,3047,189,35.43,NA,NA,NA,NA,NA,"England v India at Nottingham, Jul 9-13, 2014 scorecard","New Zealand v India at Hamilton, Jan 28, 2014 scorecard","Goa v Karnataka at Visakhapatnam, Sep 25, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/728841.html?alt=1,NA
India,AR Patel,Akshar Rajeshbhai Patel,"January 20, 1994, Anand, Gujarat",20 years 313 days,Left-hand bat,Slow left-arm orthodox,"Akshar Patel played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013. Slotted primarily as a bowling allrounder, the left-arm spinner got his first IPL contract with Mumbai Indians ahead of IPL 2013, although he was on the bench for the entire season. He was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup 2013, with seven wickets, including a four-for in the semi-final against UAE.  A handy lower-order batsman, he was one of the consistent performers for Gujarat in the 2013-14 Ranji Trophy, finishing the season with 369 runs at an average of 46.12 and 29 wickets at 23.58. In early 2014, he was named the BCCI Under-19 cricketer of the year for the 2012-13 season. After an impressive season with Kings XI Punjab in IPL 2014 - 16 wickets at an economy rate of 6.22 - Akshar was rewarded with a place in the Indian ODI squad for the tour to Bangladesh.
ESPNcricinfo staff",9,4,40,20,8,12,401,69*,44.55,NA,36,26,534,93,28.1,NA,NA,NA,NA,NA,NA,"Bangladesh v India at Dhaka, Jun 15, 2014 scorecard","Gujarat v Maharashtra at Ahmedabad, Mar 17, 2013 scorecard",http://www.espncricinfo.com/inline/content/image/630981.html,NA
India,SK Raina,Suresh Kumar Raina,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",28 years 2 days,Sanu,Batsman,"Suresh Raina represents the new age Indian cricketer. An attacking left-hander who goes for the big shots with impunity and clears the field with a swashbuckling flourish when at the top of his game, Raina is also equally capable of attracting applause as an electric fielder in the circle. All of this, though, is tempered with an iffy technique against the short ball, which has been mercilessly exposed in Test cricket.",17,29,768,28.44,203,175,5051,116*,35.82,120,44,38,947,101,32.65,186,176,5139,NA,35.19,"Sri Lanka v India at Colombo (SSC), Jul 26-30, 2010 scorecard","Sri Lanka v India at Dambulla, Jul 30, 2005 scorecard","South Africa v India at Johannesburg, Dec 1, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800337.html?alt=3,"South Africa v India at Johannesburg, Dec 1, 2006 scorecard"
India,RV Uthappa,Robin Venu Uthappa,"November 11, 1985, Coorg, Karnataka",29 years 18 days,Batsman,Right-hand bat,"As a batsman Robin Uthappa has always been attractive to watch, hard-hitting, with every shot in the book, and unafraid to hit the ball in the air. However, tempering his strokeplay has been his biggest problem, and has kept him out of the Indian team for long periods.",43,39,890,26.96,11,10,168,50,18.66,86,100,166,6594,162,40.7,NA,NA,NA,NA,NA,NA,"India v England at Indore, Apr 15, 2006 scorecard","Karnataka v Kerala at Visakhapatnam, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/800357.html?alt=3,"India v Scotland at Durban, Sep 13, 2007 scorecard"
India,AM Rahane,Ajinkya Madhukar Rahane,"June 5, 1988, Ashwi-KD, Maharashtra",26 years 177 days,Top-order batsman,Right-hand bat,"Ajinkya Rahane is a top-order Mumbai batsman who, with 1089 runs in his second Ranji season, was a crucial factor in Mumbai's 38th title win. Only 11 players have scored 1000 runs in a single Ranji season, and that puts his effort in perspective. Rahane's progression to the Mumbai Ranji team was a natural one - he had represented them at all age levels, and was always seen as a prospective Mumbai player if not more. His bumper Ranji season followed an impressive showing in the 2007-08 Duleep Trophy, where he scored 172 against an England Lions attack that comprised Graham Onions, Monty Panesar, Steve Kirby and Liam Plunkett. That innings came after followers of Mumbai cricket had started to write him off as a a fine talent but fit only to make a swift 50. Two years later, he had shown they were way off.",10,19,678,39.88,42,42,1230,111,29.28,118,11,11,236,61,21.45,106,101,2523,NA,27.72,"India v Australia at Delhi, Mar 22-24, 2013 scorecard","England v India at Chester-le-Street, Sep 3, 2011 scorecard","Baroda v Mumbai at Mumbai, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/728161.html,"England v India at Manchester, Aug 31, 2011 scorecard"
India,RG Sharma,Rohit Gurunath Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",27 years 213 days,Batsman,Right-hand bat,"Rohit Sharma oozes batting talent: malleable wrists, knack to find the gaps, and the extra half a second when he plays his shots. However, for a player of his class, the first six years of his international career were frustrating for him, the team, and the spectators, as the odd delightful innings was followed and preceded by plenty of failures. It all came together finally in 2013, when Rohit was promoted to open the innings in ODIs. The move turned out to be a masterstroke, as Rohit found form in the Champions Trophy, and then went into overdrive in the ODI series against Australia, scoring two centuries, including 209, only the third double in ODI cricket. That led to a place in the Test team, and Rohit responded by scoring centuries in his first two Test innings, becoming the fifth batsman to do so. A year later, he became the first batsman to hit two ODI double-hundreds, in an innings where he smashed the record for the highest score with 264 off 173 against Sri Lanka at Eden Gardens.",7,12,489,48.9,126,120,3752,264,37.89,177,42,35,739,NA,30.79,186,175,4613,NA,32.48,"India v West Indies at Kolkata, Nov 6-8, 2013 scorecard","Ireland v India at Belfast, Jun 23, 2007 scorecard","Baroda v Mumbai at Mumbai, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/800323.html?alt=3,"England v India at Durban, Sep 19, 2007 scorecard"
India,Mohammed Shami,Mohammed Shami Ahmed,"March 9, 1990, Jonagar, Bengal",24 years 265 days,Bowler,Right-hand bat,"A promising seamer from Bengal, Shami Ahmed had played only 15 first-class and 15 List A games when he was drafted into India's ODI team to play Pakistan in Delhi in January 2013. He showed that the faith wasn't misplaced, as he bowled tight lines in a low-scoring match to return figures of 9-4-23-1, thus becoming only the eighth bowler, and the first Indian, to bowl four or more maiden overs on his ODI debut.",9,15,99,9.9,36,15,73,19,9.12,NA,4,-,-,-,-,40,10,16,5,3.2,"India v West Indies at Kolkata, Nov 6-8, 2013 scorecard","India v Pakistan at Delhi, Jan 6, 2013 scorecard","Assam v Bengal at Cuttack, Oct 20, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/728155.html,"India v Pakistan at Dhaka, Mar 21, 2014 scorecard"
India,Parvez Rasool,Parvez Ghulam Rasool Zargar,"February 13, 1989, Bijbehara, Jammu and Kashmir",25 years 289 days,Right-hand bat,Right-arm offbreak,"Off-spinning allrounder Parvez Rasool will always be a man of firsts, and it all began not just because Rasool comes from India's politically-troubled Kashmir valley.",1,-,-,-,30,53,1786,171,40.59,-,48,40,1031,NA,30.32,NA,NA,NA,NA,NA,NA,NA,"Jammu & Kashmir v Services at Rohtak, Oct 20, 2011 scorecard",http://www.espncricinfo.com/inline/content/image/729411.html,NA
India,KV Sharma,Karn Vinod Sharma,"October 23, 1987, Meerut, Uttar Pradesh",27 years 37 days,Left-hand bat,Legbreak googly,"After Praveen Kumar and Bhuvneshwar Kumar, legspinner Karn Sharma became the third cricketer to hit the headlines from the small western Uttar Pradesh town of Meerut when he bagged a Rs 3.75 crore from Sunrisers Hyderabad in the 2014 IPL auction. It was the highest amount earned by a domestic uncapped player in the auction, and was reward for a solid season with Sunrisers in 2013, when he grabbed 11 wickets in 13 matches at an economy rate of 6.60. He formed a potent combination with India legspinner Amit Mishra as Sunrisers beat expectations to reach the semi-finals in their first season.",2,-,-,-,1,-,-,-,-,-,34,46,1087,120,25.88,NA,NA,NA,NA,NA,NA,"India v Sri Lanka at Kolkata, Nov 13, 2014 scorecard","Railways v Uttar Pradesh at Jaipur, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/437332.html?alt=1,NA
